id;partei
p202;CDU/CSU
p200;CDU
p100;SPD
p500;Linke
p300;Grüne
p201;CSU
p400;FDP
p644;AfD
p608;Freie Wähler
p650;Tierschutzallianz
p605;Violetten
p657;MG
p616;DKP
p637;MLPD
p916;Die Rechte
p784;DGP
p912;Konservativen
p732;Unabhängige
p602;BüSo
p601;Tierschutzpartei
p735;Die Partei
p756;B
p727;BP
p655;Menschl. Welt
p785;TPD
p611;ÖDP
p786;DM
p612;Frauen
p607;Familie
p787;DiB
p604;Volksabstimmung
p788;Humanisten
p910;NPD
p652;Bündnis C
p661;BGE
p670;V-Partei
p514;Gesundheit
p666;JED
p789;du
p648;Neue Lib
p653;Einheit
p664;Allianz DD
p950;REP
p609;Piraten
p622;Graue
p768;PDV
p730;Zentrum
p790;SGP
p513;Mieter
p999;Sonstige